################################################
##                   SPRank                   ##
################################################
in_rec:          1AM0-A-41-AMP/amber/rec.amber.mol2
in_cpd:          1AM0-A-41-AMP/amber/lig_charged.amber.mol2
in_poses:        1AM0-A-41-AMP/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 1AM0-A-41-AMP/amber/rec.amber.mol2
--> heavy atom num: 344
Load compound: MOL from 1AM0-A-41-AMP/amber/lig_charged.amber.mol2
--> heavy atom num: 23
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
*                   REC INFO                   *
************************************************
name: default_name
rdock_02_120 -546.942 -2.528 -58.339 -11.220
rdock_02_121 -554.466 -2.540 -61.419 -11.322
rdock_02_122 -513.946 -2.534 -44.714 -11.147
rdock_02_123 -516.204 -2.435 -44.655 -11.138
rdock_02_124 -517.551 -2.522 -58.194 -11.151
rdock_02_126 -595.632 -2.451 -64.254 -11.734
rdock_02_127 -551.998 -2.840 -47.993 -11.769
rdock_02_129 -571.342 -2.659 -52.446 -11.862
rdock_02_132 -394.703 -2.665 -33.044 -11.319
rdock_02_135 -244.452 -2.282 -4.769 -10.378
rdock_02_137 -545.082 -2.449 -52.362 -11.235
rdock_02_138 -515.867 -2.581 -57.479 -11.236
rdock_02_140 -501.184 -2.489 -49.055 -11.035
rdock_02_142 -548.705 -2.425 -60.431 -11.172
rdock_02_143 -482.868 -2.641 -48.973 -11.167
rdock_02_144 -555.307 -2.727 -48.989 -11.734
rdock_02_146 -594.617 -2.518 -63.456 -11.764
rdock_02_147 -253.859 -1.868 -5.234 -10.334
rdock_02_148 -268.319 -2.012 -1.698 -10.477
rdock_03_1 -576.709 -2.389 -64.450 -11.554
rdock_03_2 -530.559 -2.466 -49.149 -11.200
rdock_03_3 -550.388 -2.751 -53.959 -11.767
rdock_03_4 -522.175 -2.707 -45.993 -11.598
rdock_03_5 -563.747 -2.294 -61.112 -11.221
rdock_03_6 -573.538 -2.512 -66.953 -11.608
rdock_03_7 -399.457 -2.491 -31.208 -11.069
rdock_03_8 -523.551 -2.370 -52.167 -11.265
rdock_03_9 -271.416 -2.208 0.990 -10.726
rdock_03_10 -567.244 -2.631 -62.212 -11.683
rdock_03_12 -583.870 -2.350 -67.722 -11.701
rdock_03_13 -592.444 -2.429 -67.625 -11.675
rdock_03_14 -598.614 -2.422 -59.881 -11.690
rdock_03_16 -546.932 -2.272 -55.574 -11.148
rdock_03_17 -551.540 -2.484 -59.037 -11.266
rdock_03_18 -575.996 -2.433 -61.160 -11.535
rdock_03_19 -584.243 -2.822 -51.538 -12.182
rdock_03_20 -571.153 -2.850 -60.020 -11.947
rdock_03_21 -592.518 -2.772 -60.157 -12.090
rdock_03_22 -547.010 -2.789 -54.233 -11.727
rdock_03_23 -578.507 -2.648 -67.759 -11.709
rdock_03_24 -552.761 -2.745 -55.227 -11.781
rdock_03_27 -585.279 -2.515 -60.892 -11.699
rdock_03_28 -597.916 -2.485 -58.773 -11.690
rdock_03_30 -545.170 -2.689 -59.579 -11.557
rdock_03_32 -537.136 -2.466 -55.884 -11.212
rdock_03_33 -365.309 -2.536 -14.981 -10.874
rdock_03_34 -532.059 -2.309 -58.853 -11.065
rdock_03_36 -366.427 -2.624 -21.598 -11.214
rdock_03_39 -536.460 -2.548 -43.922 -11.228
rdock_03_40 -564.336 -2.714 -57.799 -11.708
rdock_03_41 -545.822 -2.480 -54.965 -11.212
rdock_03_45 -548.399 -2.685 -52.754 -11.541
rdock_03_47 -573.334 -2.563 -57.176 -11.704
rdock_03_50 -449.211 -2.741 -28.714 -11.494
rdock_03_52 -593.453 -2.671 -63.342 -11.947
rdock_03_54 -592.029 -2.751 -58.636 -12.090
rdock_03_55 -565.806 -2.260 -58.923 -11.261
rdock_03_58 -562.395 -2.793 -51.354 -11.826
rdock_03_59 -611.733 -2.703 -62.798 -12.106
rdock_03_61 -509.858 -2.510 -47.171 -11.173
rdock_03_62 -584.611 -2.421 -67.033 -11.664
rdock_03_64 -571.595 -2.654 -65.592 -11.804
rdock_03_65 -532.481 -2.872 -52.024 -11.694
rdock_03_68 -282.366 -2.046 -0.106 -10.531
rdock_03_70 -552.497 -2.717 -58.373 -11.667
rdock_03_71 -587.530 -2.167 -66.816 -11.994
rdock_03_73 -565.717 -2.681 -56.379 -11.659
rdock_03_74 -532.170 -2.436 -63.747 -11.159
rdock_03_75 -542.286 -2.845 -45.791 -11.633
rdock_03_76 -595.982 -2.621 -60.027 -11.821
rdock_03_77 -577.823 -2.517 -62.836 -11.608
rdock_03_79 -587.929 -2.677 -53.132 -12.006
rdock_03_80 -516.501 -2.053 -56.033 -11.088
rdock_03_81 -544.303 -2.518 -53.046 -11.289
rdock_03_82 -246.663 -2.051 -1.467 -10.524
rdock_03_84 -377.519 -2.595 -19.776 -11.214
rdock_03_85 -522.169 -2.509 -61.709 -11.213
rdock_03_86 -572.638 -2.264 -60.213 -11.457
rdock_03_87 -571.118 -2.332 -67.770 -11.475
rdock_03_88 -540.391 -2.746 -60.448 -11.598
rdock_03_90 -578.937 -2.389 -67.901 -11.640
rdock_03_91 -522.717 -2.865 -54.804 -11.671
rdock_03_92 -572.750 -2.775 -56.226 -12.025
rdock_03_97 -495.031 -2.605 -48.096 -11.192
rdock_03_98 -557.967 -2.361 -49.961 -11.340
rdock_03_102 -618.924 -2.437 -63.433 -11.796
rdock_03_105 -584.900 -2.546 -67.049 -11.718
rdock_03_106 -518.454 -2.249 -56.652 -11.101
rdock_03_109 -562.758 -2.423 -65.296 -11.325
rdock_03_111 -549.442 -2.664 -57.196 -11.534
rdock_03_112 -540.990 -2.256 -62.011 -11.084
rdock_03_114 -578.112 -2.527 -68.907 -11.531
rdock_03_118 -572.206 -2.572 -53.634 -11.728
rdock_03_119 -343.187 -2.402 -14.309 -10.510
rdock_03_120 -574.363 -2.485 -68.250 -11.500
rdock_03_121 -437.668 -2.522 -30.736 -11.083
rdock_03_122 -600.474 -2.449 -60.931 -11.714
rdock_03_124 -495.002 -2.671 -46.328 -11.285
rdock_03_125 -498.017 -2.657 -44.732 -11.259
rdock_03_127 -533.368 -2.262 -57.054 -11.113
rdock_03_128 -560.906 -2.721 -57.026 -11.778
rdock_03_132 -603.286 -2.786 -58.036 -12.101
rdock_03_133 -501.744 -2.628 -46.935 -11.192
rdock_03_134 -337.680 -2.195 -9.154 -10.628
rdock_03_136 -601.029 -2.608 -63.494 -11.864
rdock_03_140 -580.963 -2.493 -66.557 -11.688
rdock_03_143 -339.988 -2.522 -9.337 -10.498
rdock_03_146 -522.574 -2.353 -56.261 -11.242
rdock_03_147 -355.527 -2.303 -14.648 -10.733
rdock_04_2 -522.485 -2.694 -45.248 -11.598
rdock_04_5 -571.274 -2.615 -61.915 -11.710
rdock_04_6 -592.845 -2.431 -58.839 -11.657
rdock_04_7 -206.845 -2.444 7.207 -10.530
rdock_04_8 -562.590 -2.875 -60.663 -11.765
rdock_04_9 -546.973 -2.712 -53.039 -11.692
rdock_04_10 -534.835 -2.878 -54.556 -11.694
rdock_04_14 -553.220 -2.802 -52.075 -11.804
rdock_04_15 -599.589 -2.659 -67.763 -11.933
rdock_04_16 -533.078 -2.430 -58.252 -11.133
rdock_04_17 -351.070 -2.356 -13.736 -10.737
rdock_04_18 -531.312 -2.886 -51.459 -11.659
rdock_04_24 -560.812 -2.434 -60.961 -11.249
rdock_04_25 -334.732 -2.443 -14.360 -10.510
rdock_04_26 -500.609 -2.747 -52.585 -11.506
rdock_04_29 -533.326 -2.852 -57.699 -11.593
rdock_04_32 -599.556 -2.540 -57.726 -11.721
rdock_04_35 -539.859 -2.558 -52.334 -11.374
rdock_04_36 -559.274 -2.738 -58.324 -11.702
rdock_04_37 -554.871 -2.494 -60.698 -11.272
rdock_04_38 -551.904 -2.750 -50.136 -11.769
rdock_04_39 -592.733 -2.431 -59.229 -11.657
rdock_04_40 -530.888 -2.276 -61.002 -11.043
rdock_04_43 -628.860 -2.501 -61.030 -11.777
rdock_04_47 -504.498 -2.404 -56.557 -11.047
rdock_04_48 -590.063 -2.487 -53.347 -11.782
rdock_04_50 -591.045 -2.727 -63.648 -12.098
rdock_04_51 -219.008 -2.114 -1.619 -10.691
rdock_04_52 -532.076 -2.317 -59.927 -11.065
rdock_04_56 -532.936 -2.175 -54.825 -11.317
rdock_04_60 -538.966 -2.738 -62.735 -11.618
rdock_04_62 -324.141 -2.531 -7.402 -10.498
rdock_04_63 -547.812 -2.562 -57.173 -11.359
rdock_04_64 -574.662 -2.630 -58.300 -11.691
rdock_04_65 -534.919 -2.768 -58.569 -11.593
rdock_04_73 -517.256 -2.569 -47.400 -11.303
rdock_04_74 -392.985 -2.665 -31.952 -11.319
rdock_04_82 -525.728 -2.593 -49.827 -11.380
rdock_04_87 -587.797 -2.415 -54.465 -11.758
rdock_04_91 -574.271 -2.756 -59.725 -11.970
rdock_04_93 -530.220 -2.768 -61.191 -11.618
rdock_04_96 -555.622 -2.453 -53.519 -11.345
rdock_04_98 -540.017 -2.674 -54.265 -11.508
rdock_04_101 -275.390 -2.186 -10.603 -10.656
rdock_04_103 -384.016 -2.459 -4.813 -10.721
rdock_04_105 -504.557 -2.398 -57.395 -11.023
rdock_04_106 -562.934 -2.293 -58.249 -11.231
rdock_04_107 -432.913 -2.408 -32.333 -11.052
rdock_04_110 -578.062 -2.525 -65.772 -11.608
rdock_04_112 -570.189 -2.506 -67.138 -11.585
rdock_04_113 -581.247 -2.760 -57.331 -12.135
rdock_04_114 -559.551 -2.598 -57.762 -11.423
rdock_04_115 -496.985 -2.758 -42.268 -11.482
rdock_04_116 -565.242 -2.748 -55.878 -11.821
rdock_04_118 -577.988 -2.574 -66.496 -11.693
rdock_04_119 -476.159 -2.687 -35.434 -11.500
rdock_04_121 -586.033 -2.438 -60.386 -11.621
rdock_04_123 -512.190 -2.342 -59.430 -11.083
rdock_04_126 -574.553 -2.437 -63.881 -11.554
rdock_04_128 -610.011 -2.836 -61.593 -12.142
rdock_04_131 -535.385 -2.498 -61.655 -11.213
rdock_04_135 -528.818 -2.267 -59.171 -11.037
rdock_04_138 -590.577 -2.636 -63.203 -11.854
rdock_04_142 -587.072 -2.661 -58.327 -11.904
rdock_04_150 -445.297 -2.567 -35.505 -11.193
rdock_05_6 -603.659 -2.434 -59.471 -11.690
rdock_05_9 -586.785 -2.414 -64.064 -11.700
rdock_05_10 -545.064 -2.440 -59.860 -11.133
rdock_05_11 -540.576 -2.489 -56.970 -11.211
rdock_05_24 -531.311 -2.741 -43.055 -11.633
rdock_05_26 -549.286 -2.411 -55.467 -11.285
rdock_05_29 -565.230 -2.596 -58.013 -11.464
rdock_05_31 -504.034 -2.340 -57.139 -11.053
rdock_05_35 -532.814 -2.419 -53.913 -11.235
rdock_05_36 -522.182 -2.473 -67.482 -11.134
rdock_05_38 -587.072 -2.426 -52.746 -11.758
rdock_05_39 -555.942 -2.581 -58.043 -11.382
rdock_05_40 -569.285 -2.499 -65.385 -11.619
rdock_05_41 -573.435 -2.496 -67.703 -11.553
rdock_05_44 -533.947 -2.515 -68.177 -11.135
rdock_05_45 -559.380 -2.301 -55.084 -11.253
rdock_05_47 -601.737 -2.421 -61.276 -11.734
rdock_05_51 -556.933 -2.640 -66.333 -11.448
rdock_05_54 -580.405 -2.400 -66.017 -11.664
rdock_05_55 -564.400 -2.570 -60.874 -11.429
rdock_05_56 -252.361 -2.713 5.325 -11.012
rdock_05_57 -594.534 -2.704 -62.528 -12.108
rdock_05_62 -548.486 -2.495 -53.010 -11.291
rdock_05_65 -553.070 -2.205 -54.212 -11.477
rdock_05_66 -564.480 -2.772 -45.564 -11.784
rdock_05_72 -538.429 -2.661 -48.540 -11.473
rdock_05_73 -237.932 -2.499 -1.249 -10.561
rdock_05_74 -566.233 -2.333 -57.741 -11.338
rdock_05_75 -571.643 -2.359 -66.699 -11.561
rdock_05_76 -575.128 -2.615 -60.290 -11.691
rdock_05_79 -606.217 -2.616 -59.955 -11.865
rdock_05_82 -537.951 -2.525 -50.166 -11.254
rdock_05_87 -481.725 -2.606 -36.638 -11.232
rdock_05_88 -363.937 -2.662 -33.691 -11.319
rdock_05_93 -580.911 -2.689 -53.667 -12.147
rdock_05_94 -568.509 -2.457 -63.881 -11.565
rdock_05_101 -561.572 -2.314 -61.118 -11.237
rdock_05_102 -572.287 -2.561 -50.550 -11.693
rdock_05_104 -556.308 -2.801 -47.975 -11.769
rdock_05_107 -569.377 -2.569 -50.322 -11.727
rdock_05_108 -541.417 -2.816 -45.516 -11.633
rdock_05_109 -559.385 -2.626 -62.576 -11.448
rdock_05_114 -594.878 -2.617 -63.547 -11.864
rdock_05_116 -542.705 -2.531 -59.582 -11.187
rdock_05_117 -558.927 -2.757 -55.151 -11.781
rdock_05_120 -571.723 -2.659 -68.704 -11.726
rdock_05_122 -574.852 -2.620 -59.752 -11.691
rdock_05_126 -572.699 -2.381 -65.834 -11.531
rdock_05_128 -499.948 -2.317 -48.876 -10.966
rdock_05_131 -529.803 -2.718 -61.440 -11.583
rdock_05_135 -564.813 -2.407 -61.131 -11.290
rdock_05_143 -583.654 -2.668 -51.598 -11.996
rdock_05_147 -568.772 -2.421 -63.974 -11.565
rdock_05_148 -600.455 -2.536 -62.607 -11.764
rdock_05_149 -556.468 -2.351 -56.850 -11.328
rdock_05_150 -426.739 -2.554 -29.487 -11.069
rdock_06_3 -446.710 -2.379 -27.821 -11.058
rdock_06_4 -416.957 -2.492 -31.609 -11.046
rdock_06_8 -583.407 -2.621 -61.807 -11.844
rdock_06_10 -568.207 -2.406 -66.827 -11.504
