################################################
##                   SPRank                   ##
################################################
in_rec:          3D2X-A-85-D2X/amber/rec.amber.mol2
in_cpd:          3D2X-A-85-D2X/amber/lig_charged.amber.mol2
in_poses:        3D2X-A-85-D2X/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 3D2X-A-85-D2X/amber/rec.amber.mol2
--> heavy atom num: 1652
Load compound: MOL from 3D2X-A-85-D2X/amber/lig_charged.amber.mol2
--> heavy atom num: 26
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
*                   REC INFO                   *
************************************************
name: default_name
rdock_03_122 -240.365 -4.016 -6.770 -12.613
rdock_03_123 -299.294 -3.996 -0.263 -12.655
rdock_03_124 -496.329 -3.988 -30.346 -12.848
rdock_03_125 -421.952 -4.296 -18.320 -12.754
rdock_03_126 -541.426 -4.157 -40.334 -12.976
rdock_03_127 -504.944 -4.167 -31.785 -12.780
rdock_03_128 -316.868 -4.183 -24.993 -12.730
rdock_03_129 -236.557 -3.776 -10.431 -11.337
rdock_03_130 -537.770 -4.264 -51.669 -13.051
rdock_03_131 -389.746 -4.076 -8.247 -12.634
rdock_03_132 -462.357 -4.157 -27.800 -12.785
rdock_03_133 -311.667 -3.960 -25.242 -12.621
rdock_03_134 -539.672 -4.172 -40.519 -12.976
rdock_03_135 -594.752 -4.051 -33.264 -13.204
rdock_03_136 -367.044 -3.901 -12.299 -12.199
rdock_03_137 -350.608 -4.192 7.100 -12.652
rdock_03_138 -308.184 -4.030 -14.129 -12.611
rdock_03_139 -478.028 -4.098 -43.300 -12.760
rdock_03_140 -492.140 -3.960 -33.653 -12.645
rdock_03_141 -321.088 -3.934 -0.149 -12.172
rdock_03_142 -313.822 -3.925 3.982 -12.172
rdock_03_143 -552.624 -4.134 -31.993 -13.010
rdock_03_144 -355.493 -3.933 -16.507 -12.334
rdock_03_145 -288.912 -3.871 -17.832 -12.312
rdock_03_146 -292.522 -3.844 -32.571 -12.043
rdock_03_147 -522.164 -4.095 -40.552 -12.976
rdock_03_148 -324.047 -4.012 6.511 -12.655
rdock_03_149 -309.252 -3.675 -16.252 -11.528
rdock_03_150 -212.711 -3.841 -17.032 -11.958
rdock_04_1 -275.768 -3.485 -27.510 -11.664
rdock_04_2 -324.423 -3.177 -12.156 -11.352
rdock_04_3 -309.040 -3.753 -17.748 -11.528
rdock_04_4 -288.319 -3.924 -26.222 -12.284
rdock_04_5 -323.347 -4.105 7.288 -12.586
rdock_04_6 -357.552 -4.278 -14.142 -12.660
rdock_04_7 -314.874 -3.854 -2.778 -12.252
rdock_04_8 -579.751 -3.906 -37.307 -12.930
rdock_04_9 -310.993 -3.791 -8.242 -11.334
rdock_04_10 -476.616 -3.708 -26.197 -11.872
rdock_04_11 -543.207 -4.172 -27.419 -12.916
rdock_04_12 -263.409 -4.080 -24.523 -12.758
rdock_04_13 -555.716 -4.216 -30.495 -13.010
rdock_04_14 -436.254 -4.300 -15.467 -12.727
rdock_04_15 -312.052 -3.743 -28.213 -11.618
rdock_04_16 -284.049 -3.964 -4.762 -12.589
rdock_04_17 -543.065 -4.284 -46.988 -12.952
rdock_04_18 -221.604 -3.466 -6.667 -11.345
rdock_04_19 -302.684 -4.183 -9.068 -12.562
rdock_04_20 -520.491 -4.398 -34.976 -12.916
rdock_04_21 -263.896 -4.175 -22.975 -12.758
rdock_04_22 -542.900 -3.984 -37.640 -12.984
rdock_04_23 -309.541 -4.033 -22.944 -12.746
rdock_04_24 -463.525 -3.864 -49.553 -12.542
rdock_04_25 -467.458 -4.080 -20.683 -12.779
rdock_04_26 -329.303 -3.745 -14.205 -11.414
rdock_04_27 -271.241 -4.094 -19.678 -12.739
rdock_04_28 -561.653 -4.173 -37.260 -13.067
rdock_04_29 -480.983 -4.252 -23.556 -12.779
rdock_04_30 -545.379 -4.238 -28.554 -12.916
rdock_04_31 -237.588 -3.682 6.316 -11.454
rdock_04_32 -420.097 -4.132 -14.153 -12.637
rdock_04_33 -221.601 -4.182 -13.579 -12.587
rdock_04_34 -391.059 -3.947 -33.519 -12.687
rdock_04_35 -372.696 -4.019 -14.649 -12.728
rdock_04_36 -316.917 -4.204 -22.302 -12.730
