################################################
##                   SPRank                   ##
################################################
in_rec:          3D2X-A-85-D2X/amber/rec.amber.mol2
in_cpd:          3D2X-A-85-D2X/amber/lig_charged.amber.mol2
in_poses:        3D2X-A-85-D2X/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 3D2X-A-85-D2X/amber/rec.amber.mol2
--> heavy atom num: 1652
Load compound: MOL from 3D2X-A-85-D2X/amber/lig_charged.amber.mol2
--> heavy atom num: 26
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
rdock_02_114 -303.776 -3.831 -21.228
rdock_02_115 -572.178 -4.273 -33.812
rdock_02_116 -531.688 -4.126 -30.359
rdock_02_117 -281.817 -3.954 -7.018
rdock_02_118 -553.446 -4.019 -29.444
rdock_02_119 -541.067 -4.236 -26.505
rdock_02_120 -515.819 -4.156 -31.082
rdock_02_121 -479.172 -4.359 -22.833
rdock_02_122 -551.108 -4.095 -31.160
rdock_02_123 -372.661 -3.935 -21.130
rdock_02_124 -540.006 -4.085 -25.696
rdock_02_125 -527.361 -4.127 -38.023
rdock_02_126 -385.717 -4.102 1.472
rdock_02_127 -547.852 -4.075 -48.582
rdock_02_128 -557.982 -4.057 -39.102
rdock_02_129 -525.881 -4.084 -25.290
rdock_02_130 -589.048 -4.202 -39.126
rdock_02_131 -442.067 -4.293 -14.345
rdock_02_132 -539.193 -4.102 -39.006
rdock_02_133 -480.561 -4.260 -29.823
rdock_02_134 -558.204 -4.147 -40.468
rdock_02_135 -497.029 -4.090 -24.636
rdock_02_136 -517.493 -4.173 -50.145
rdock_02_137 -256.990 -4.099 -3.334
rdock_02_138 -348.759 -4.169 -5.014
rdock_02_139 -549.605 -4.414 -30.627
rdock_02_140 -569.482 -4.206 -32.139
rdock_02_141 -296.327 -4.231 -6.413
rdock_02_142 -430.859 -3.940 -25.806
rdock_02_143 -562.353 -4.270 -34.489
rdock_02_144 -505.467 -4.285 -41.397
rdock_02_145 -414.215 -3.962 -25.137
rdock_02_146 -493.625 -4.088 -28.179
rdock_02_147 -269.681 -3.911 -7.053
rdock_02_148 -576.036 -4.403 -37.053
rdock_02_149 -373.728 -4.015 5.425
rdock_02_150 -379.774 -4.233 -17.952
rdock_03_1 -509.353 -4.107 -35.007
rdock_03_2 -572.694 -4.174 -29.211
rdock_03_3 -359.710 -4.307 -33.300
rdock_03_4 -286.039 -4.063 -33.757
rdock_03_5 -374.810 -4.027 -10.461
rdock_03_6 -464.464 -3.798 -29.100
rdock_03_7 -280.659 -4.070 -17.485
rdock_03_8 -537.411 -4.329 -27.320
rdock_03_9 -509.427 -3.919 -25.567
rdock_03_10 -472.513 -3.789 -19.034
rdock_03_11 -311.038 -3.853 -24.540
